Sex,Single Year of Age,VALUE
Male,22 years,259
Male,22 years,852
Male,22 years,1314
Male,22 years,502
Male,22 years,535
Male,22 years,878
Male,22 years,870
Male,22 years,775
Male,22 years,1842
Male,22 years,1832
Male,22 years,790
Male,22 years,1478
Male,22 years,909
Male,22 years,751
Male,22 years,895
Male,22 years,928
Male,22 years,170
Male,22 years,624
Male,22 years,347
Male,22 years,411
Male,22 years,441
Male,22 years,870
Male,22 years,352
Male,23 years,30871
Male,23 years,376
Male,23 years,4839
Male,23 years,1566
Male,23 years,1926
Male,23 years,1899
Male,23 years,1469
Male,23 years,523
Male,23 years,503
Male,23 years,266
Male,23 years,812
Male,23 years,1257
Male,23 years,453
Male,23 years,584
Male,23 years,854
Male,23 years,811
Male,23 years,632
Male,23 years,1721
Male,23 years,1785
Male,23 years,834
Male,23 years,1351
Male,23 years,866
Male,23 years,740
Male,23 years,795
Male,23 years,907
Male,23 years,177
Male,23 years,619
Male,23 years,336
Male,23 years,365
Male,23 years,436
Male,23 years,809
Male,23 years,360
Male,24 years,30234
Male,24 years,340
Male,24 years,5137
Male,24 years,1508
Male,24 years,1818
Male,24 years,1855
Male,24 years,1340
Male,24 years,526
Male,24 years,471
Male,24 years,239
Male,24 years,737
Male,24 years,1170
Male,24 years,437
Male,24 years,567
Male,24 years,837
Male,24 years,725
Male,24 years,649
Male,24 years,1687
Male,24 years,1704
Male,24 years,750
Male,24 years,1355
Male,24 years,842
Male,24 years,711
Male,24 years,855
Male,24 years,899
Male,24 years,147
Male,24 years,644
Male,24 years,285
Male,24 years,373
Male,24 years,429
Male,24 years,821
Male,24 years,376
Male,25 years,29969
Male,25 years,330
Male,25 years,5634
Male,25 years,1532
Male,25 years,1831
Male,25 years,1761
Male,25 years,1344
Male,25 years,539
Male,25 years,437
Male,25 years,210
Male,25 years,750
Male,25 years,1073
Male,25 years,424
Male,25 years,517
Male,25 years,793
Male,25 years,687
Male,25 years,627
Male,25 years,1779
Male,25 years,1590
Male,25 years,755
Male,25 years,1346
Male,25 years,844
Male,25 years,654
Male,25 years,788
Male,25 years,802
Male,25 years,142
Male,25 years,598
Male,25 years,312
Male,25 years,359
Male,25 years,438
Male,25 years,757
Male,25 years,316
Male,26 years,29376
Male,26 years,330
Male,26 years,5732
Male,26 years,1537
Male,26 years,1841
Male,26 years,1713
