Sex,Age,Population
Male,25,598
Male,25,312
Male,25,359
Male,25,438
Male,25,757
Male,25,316
Male,26,29376
Male,26,330
Male,26,5732
Male,26,1537
Male,26,1841
Male,26,1713
Male,26,1235
Male,26,472
Male,26,459
Male,26,250
Male,26,676
Male,26,1008
Male,26,409
Male,26,527
Male,26,803
Male,26,667
Male,26,586
Male,26,1757
Male,26,1512
Male,26,711
Male,26,1264
Male,26,768
Male,26,641
Male,26,771
Male,26,842
Male,26,156
Male,26,579
Male,26,316
Male,26,316
Male,26,402
Male,26,772
Male,26,324
Male,27,29162
Male,27,349
Male,27,5965
Male,27,1471
Male,27,1809
Male,27,1745
Male,27,1294
Male,27,470
Male,27,482
Male,27,230
Male,27,697
Male,27,992
Male,27,417
Male,27,505
Male,27,743
Male,27,682
Male,27,593
Male,27,1702
Male,27,1526
Male,27,713
Male,27,1229
Male,27,775
Male,27,639
Male,27,730
Male,27,672
Male,27,137
Male,27,556
Male,27,275
Male,27,337
Male,27,380
Male,27,695
Male,27,352
Male,28,28902
Male,28,304
Male,28,5931
Male,28,1412
Male,28,1772
Male,28,1741
Male,28,1226
Male,28,480
Male,28,441
Male,28,224
Male,28,739
Male,28,1021
Male,28,404
Male,28,471
Male,28,740
Male,28,707
Male,28,580
Male,28,1712
Male,28,1514
Male,28,666
Male,28,1153
Male,28,809
Male,28,607
Male,28,704
Male,28,784
Male,28,143
Male,28,598
Male,28,297
Male,28,310
Male,28,389
Male,28,714
Male,28,309
Male,29,29989
Male,29,353
Male,29,6102
Male,29,1431
Male,29,1824
Male,29,1786
Male,29,1329
Male,29,530
Male,29,448
Male,29,205
Male,29,708
Male,29,1091
Male,29,411
Male,29,555
Male,29,760
Male,29,696
Male,29,605
Male,29,1717
Male,29,1603
Male,29,706
Male,29,1230
Male,29,823
Male,29,622
Male,29,737
Male,29,847
Male,29,156
Male,29,599
Male,29,314
Male,29,327
Male,29,390
Male,29,754
Male,29,330
Male,30,30858
Male,30,367
Male,30,6163
Male,30,1511
Male,30,1888
Male,30,1819
Male,30,1372
Male,30,513
Male,30,470
Male,30,263
Male,30,769
Male,30,1097
Male,30,447
Male,30,523
Male,30,877
Male,30,688
Male,30,582
Male,30,1703
Male,30,1672
Male,30,792
Male,30,1250
Male,30,827
Male,30,719
Male,30,677
Male,30,813
Male,30,164
Male,30,657
Male,30,315
Male,30,334
Male,30,416
Male,30,788
Male,30,382
Male,31,32237
Male,31,349
Male,31,6287
Male,31,1510
Male,31,2061
